artist_name,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url
Halacg,https://www.instagram.com/halacg_official/,halacg_official,,,https://www.youtube.com/channel/UCFbfFv3bjWctmO2IQoHLiHg,UCFbfFv3bjWctmO2IQoHLiHg,,,https://twitter.com/Hala_CG,Hala_CG,,
Karun,https://instagram.com/karun.musician,karun.musician,,,,,,,,,,
Haviah Mighty,,,,,,,,,https://twitter.com/haviahmighty,haviahmighty,,
DENȲ,,,,,,,,,,,,http://www.denharrow.it/
Noga Erez,https://www.instagram.com/nogaerez/,nogaerez,https://www.tiktok.com/@nogaerez,nogaerez,https://www.youtube.com/channel/UC8jilbu-zFcknaZ5ah3C8NA,UC8jilbu-zFcknaZ5ah3C8NA,https://soundcloud.com/nogerz26,nogerz26,https://twitter.com/nogaerez,nogaerez,https://www.facebook.com/NogaErezMusic,https://nogaerez.com/
Awich,https://www.instagram.com/awich098/,awich098,,,https://www.youtube.com/channel/UCNx5Q9xTjgprA216Zy-Y8sg,UCNx5Q9xTjgprA216Zy-Y8sg,https://soundcloud.com/awich098,awich098,https://twitter.com/awich098,awich098,https://www.facebook.com/awich098,https://awich098.com/
Mila J,https://www.instagram.com/milaj/,milaj,,,https://www.youtube.com/channel/UCAvZORXwc7MYjCSRW1F-IDw,UCAvZORXwc7MYjCSRW1F-IDw,,,https://twitter.com/MilaJ,MilaJ,https://www.facebook.com/MilaJ,
Yade Lauren,,,,,,,,,,,,
Samantha Machado,https://www.instagram.com/samanthamachado/,samanthamachado,,,,,,,,,https://www.facebook.com/ssamanthamachado,
Domiziana,https://www.instagram.com/domiziana/,domiziana,https://www.tiktok.com/@iam.domiziana,iam.domiziana,https://music.youtube.com/channel/UCxQGLYgeb6yMisKclmLk-MQ,UCxQGLYgeb6yMisKclmLk-MQ,https://soundcloud.com/domiziana-music,domiziana-music,,,,
Chilla,,,,,,,https://soundcloud.com/chillamusic,chillamusic,,,,
Kat Dahlia,,,,,https://www.youtube.com/user/KatDahliaVEVO,KatDahliaVEVO,https://soundcloud.com/katdahlia,katdahlia,https://twitter.com/KatDahlia,KatDahlia,https://www.facebook.com/KatDahliaMusic,http://katdahlia.com/
Mallrat,https://www.instagram.com/lilmallrat/,lilmallrat,,,https://www.youtube.com/channel/UCK2codDA94XHf66dbfSy6vw?spfreload=10,UCK2codDA94XHf66dbfSy6vw?spfreload=10,https://soundcloud.com/lilmallrat,lilmallrat,https://twitter.com/lilmallrat,lilmallrat,https://www.facebook.com/lilmallrat,https://lilmallrat.com/
kouth,https://www.instagram.com/prodkouth/,prodkouth,,,https://music.youtube.com/channel/UCTlYt5kKRXlL8OOiroUO0kw,UCTlYt5kKRXlL8OOiroUO0kw,,,https://twitter.com/prodkouth,prodkouth,,
Illest Morena,,,,,,,,,,,,
